JobFactors,Count
"Languages, frameworks, and other technologies I'd be working with",6458
Office environment or company culture,5818
Flex time or a flexible schedule,5286
Opportunities for professional development,5034
Remote work options,3537
How widely used or impactful my work output would be,2673
Financial performance or funding status of the company or organization,1534
Industry that I'd be working in,1476
Specific department or team I'd be working on,1361
Diversity of the company or organization,766
